region,city,address_street,address_type
респ. Ингушетия,г. Волгоград,"пр. Троицкий, д. 94 стр. 3",получатель
Свердловская обл.,клх Саров (Морд.),"пер. Иркутский, д. 3/5 стр. 6",отправитель
Пермский край,п. Тымовское,"наб. Приозерная, д. 1/3 стр. 4/9",получатель
респ. Дагестан,клх Кущевская,"бул. Строительный, д. 8 к. 36",отправитель
Пермский край,клх Норильск,"бул. Свердлова, д. 2 к. 488",получатель
респ. Дагестан,с. Северобайкальск,"пер. Чапаева, д. 345 стр. 27",отправитель
Чукотский АО,ст. Байкальск,"бул. Магистральный, д. 70 к. 9/6",отправитель
Смоленская обл.,ст. Сальск,"алл. Белорусская, д. 463 стр. 1/2",получатель
Московская обл.,п. Гудермес,"наб. Первомайская, д. 4 стр. 36",отправитель
Алтайский край,к. Алдан,"бул. Линейный, д. 5/9 стр. 1/8",получатель
Ненецкий АО,к. Вологда,"пер. Азовский, д. 7/8 к. 1",получатель
Новгородская обл.,ст. Пенза,"ул. Волкова, д. 727 стр. 753",отправитель
Ямало-Ненецкий АО,д. Оленегорск (Якут.),"ш. Мичурина, д. 3",получатель
респ. Калмыкия,с. Енисейск,"бул. Тенистый, д. 3 стр. 5",получатель
респ. Карачаево-Черкесия,д. Баксан,"ш. Декабристов, д. 2/7 стр. 5/9",отправитель
Пензенская обл.,п. Сочи,"ш. Крупской, д. 23",отправитель
Ямало-Ненецкий АО,с. Раменское,"алл. Радужная, д. 919",отправитель
Хабаровский край,к. Орел,"пр. Высоцкого, д. 432",отправитель
Смоленская обл.,ст. Ханты-Мансийск,"пр. Горького, д. 610",получатель
Оренбургская обл.,г. Ишим,"ш. Юбилейное, д. 87 к. 7",отправитель
Липецкая обл.,ст. Хатанга,"бул. Солнечный, д. 119 стр. 6/1",получатель
Волгоградская обл.,к. Новосибирск,"наб. Хвойная, д. 91 стр. 329",отправитель
респ. Кабардино-Балкария,д. Королев,"алл. Лермонтова, д. 16 стр. 6",отправитель
Новосибирская обл.,с. Пушкин,"ш. Воронежское, д. 217",получатель
респ. Алтай,д. Самара,"ул. Семашко, д. 8/1 к. 266",получатель
респ. Татарстан,с. Бийск,"ул. Ломоносова, д. 690",отправитель
Чукотский АО,п. Мокшан,"бул. Подгорный, д. 71",отправитель
респ. Мордовия,с. Нарым,"пр. Харьковский, д. 1/4 стр. 37",отправитель
респ. Карачаево-Черкесия,ст. Усолье Сибирское,"бул. Малый, д. 45",получатель
респ. Удмуртия,д. Корсаков,"наб. Нагорная, д. 98 стр. 1/3",получатель
Краснодарский край,к. Москва,"пр. 1 Мая, д. 7/6 стр. 2",получатель
Ямало-Ненецкий АО,с. Данков,"ул. Энгельса, д. 5",получатель
Камчатский край,с. Тамбов,"наб. Мирная, д. 28",получатель
Приморский край,к. Киренск,"пер. Подлесный, д. 670",отправитель
Астраханская обл.,к. Туруханск,"ш. Зеленое, д. 8 к. 58",получатель
респ. Дагестан,ст. Алдан,"ш. Рылеева, д. 2",отправитель
Оренбургская обл.,п. Моршанск,"ул. Космодемьянской, д. 42 стр. 9",получатель
респ. Карелия,с. Мураши,"алл. Жукова, д. 9 стр. 979",отправитель
Приморский край,г. Сосновый Бор,"алл. Моховая, д. 8",получатель
Рязанская обл.,п. Бомнак,"алл. Правды, д. 47 к. 82",получатель
Краснодарский край,с. Рыльск,"алл. Смоленская, д. 4 стр. 44",отправитель
Еврейская АО,п. Колпашево,"пер. Народный, д. 6 к. 1/9",получатель
Хабаровский край,п. Хатанга,"пр. Республиканский, д. 5 стр. 9",отправитель
Рязанская обл.,к. Тарко-Сале,"ул. Заречная, д. 5/3 к. 21",получатель
Еврейская АО,ст. Курильск,"ш. Уральское, д. 693 к. 8",получатель
Ямало-Ненецкий АО,ст. Всеволожск,"ул. Гайдара, д. 7/2 к. 855",получатель
Красноярский край,ст. Балтийск,"ул. Горняцкая, д. 40",получатель
Алтайский край,г. Обоянь,"ул. Харьковская, д. 8/6 к. 289",отправитель
Еврейская АО,клх Амурск,"бул. Сиреневый, д. 6",отправитель
Забайкальский край,клх Ноябрьск,"пер. Вавилова, д. 6",отправитель
респ. Татарстан,д. Старая Русса,"алл. Кубанская, д. 4/3",отправитель
респ. Дагестан,клх Наро-Фоминск,"алл. Пролетарская, д. 717 стр. 99",получатель
Забайкальский край,д. Невельск,"алл. Дружба, д. 74 стр. 93",отправитель
Воронежская обл.,к. Владимир,"ул. Дружба, д. 2/3",получатель
Кировская обл.,с. Архангельск,"наб. Кутузова, д. 7",получатель
респ. Саха (Якутия),клх Ирбит,"алл. Олега Кошевого, д. 97 стр. 5/2",получатель
Тамбовская обл.,с. Соликамск,"пр. Таежный, д. 1/7 стр. 1/2",получатель
Курская обл.,п. Славянск-на-Кубани,"пр. Отрадный, д. 32",получатель
Иркутская обл.,клх Ангарск,"ул. Проезжая, д. 286",получатель
Ямало-Ненецкий АО,клх Усть-Илимск,"пр. Достоевского, д. 455",отправитель
Вологодская обл.,клх Губкинский,"алл. Энгельса, д. 7/1",получатель
Липецкая обл.,д. Ербогачен,"алл. Мая 1, д. 57 стр. 76",отправитель
Ямало-Ненецкий АО,д. Верхотурье,"ул. Дорожная, д. 3 стр. 53",отправитель
респ. Удмуртия,к. Ухта,"пр. Бажова, д. 163",получатель
Ненецкий АО,к. Сковородино,"ш. Придорожное, д. 7 к. 612",отправитель
респ. Кабардино-Балкария,п. Кинешма,"наб. Лунная, д. 8/7",получатель
Чукотский АО,к. Туруханск,"ш. Осенное, д. 3/9",отправитель
Забайкальский край,д. Ахтубинск,"ш. О.Кошевого, д. 145 к. 3",отправитель
Камчатский край,клх Нарым,"алл. Ленина, д. 32 к. 9",отправитель
Пензенская обл.,клх Кош-Агач,"пр. Казачий, д. 2/1 стр. 459",получатель
респ. Коми,п. Елатьма,"пер. Урожайный, д. 67 стр. 6/2",отправитель
Ханты-Мансийский АО,клх Эльтон,"бул. Автомобилистов, д. 9/4",отправитель
Камчатский край,п. Новокузнецк,"пер. 50 лет Октября, д. 2/7",отправитель
Челябинская обл.,п. Волгодонск,"бул. Энергетический, д. 7/7 стр. 3",получатель
Забайкальский край,ст. Набережные Челны,"алл. Суворова, д. 5/3 стр. 8",получатель
Кировская обл.,с. Камень-на-Оби,"пр. Демьяна Бедного, д. 2 стр. 8/1",отправитель
Еврейская АО,г. Чехов,"пр. Инженерный, д. 40",получатель
Кемеровская обл.,клх Каменск-Уральский,"бул. Рыбацкий, д. 7",отправитель
респ. Адыгея,клх Юровск,"пр. Гагарина, д. 66 к. 6/2",отправитель
респ. Бурятия,ст. Бодайбо,"ул. Высоцкого, д. 12 стр. 185",получатель
Ставропольский край,клх Майкоп,"ш. Шмидта, д. 5 стр. 2",получатель
Еврейская АО,с. Апшеронск,"наб. Гайдара, д. 2/9 стр. 34",получатель
респ. Башкортостан,клх Жиганск,"пер. Владимирский, д. 16 к. 6/6",отправитель
Свердловская обл.,ст. Санкт-Петербург,"пр. Привокзальный, д. 66 стр. 7",отправитель
Воронежская обл.,с. Листвянка (Иркут.),"ул. Маркса Карла, д. 4 стр. 26",отправитель
респ. Коми,ст. Мирный,"бул. Короткий, д. 47",отправитель
респ. Крым,п. Алагир,"ул. Ленская, д. 5",получатель
Алтайский край,с. Верхоянск,"пер. Водников, д. 7",получатель
Пермский край,клх Сосьва (Хант.),"бул. Белорусский, д. 1/4",получатель
Еврейская АО,д. Южно-Сахалинск,"ул. Сибирская, д. 6 к. 97",получатель
Краснодарский край,п. Улан-Удэ,"ул. Покровская, д. 57 к. 6",получатель
респ. Дагестан,ст. Устюжна,"пр. Стадионный, д. 30 стр. 8",отправитель
Ханты-Мансийский АО,клх Кировск (Ленин.),"пр. Дарвина, д. 66 к. 74",отправитель
респ. Мордовия,к. Беслан,"пер. Дзержинского, д. 622 стр. 99",отправитель
респ. Карачаево-Черкесия,с. Кыштым,"ул. Майская, д. 24 к. 76",получатель
респ. Ингушетия,с. Дудинка,"алл. Таежная, д. 1 стр. 221",получатель
респ. Саха (Якутия),п. Троицк (Челяб.),"ул. Главная, д. 3/5",получатель
Костромская обл.,клх Курганинск,"ул. Пушкина, д. 28",отправитель
Тамбовская обл.,клх Богучар,"бул. Запорожский, д. 9/2 стр. 6/5",получатель
Орловская обл.,д. Томари,"пер. Лесный, д. 771 к. 411",получатель
Ямало-Ненецкий АО,п. Новая Игирма,"наб. Степная, д. 9 стр. 88",отправитель
Чукотский АО,к. Аша,"бул. Черняховского, д. 1 стр. 4/6",отправитель
Ростовская обл.,к. Когалым,"алл. Кавказская, д. 139",отправитель
Ханты-Мансийский АО,п. Пушкино (Моск.),"ул. Космодемьянской, д. 5/1 к. 6/7",отправитель
Красноярский край,с. Нефтегорск (Самар.),"бул. Кузнечный, д. 501 стр. 1/8",получатель
Ивановская обл.,ст. Петухово,"пр. Астраханский, д. 3/8 к. 366",получатель
респ. Татарстан,д. Череповец,"пр. Иванова, д. 209 к. 401",отправитель
респ. Дагестан,д. Забайкальск,"бул. Степной, д. 661 к. 4/3",получатель
Хабаровский край,ст. Истра,"пр. Ягодный, д. 156",отправитель
Ставропольский край,ст. Кабанск,"алл. Л.Толстого, д. 7 стр. 108",отправитель
Ненецкий АО,д. Бугуруслан,"наб. Труда, д. 9/2",отправитель
респ. Ингушетия,ст. Саров (Морд.),"ул. Королева, д. 3/8 стр. 5/1",отправитель
Пермский край,к. Пушкин,"бул. Пугачева, д. 8",получатель
Забайкальский край,п. Краснокамск,"ул. Журавлева, д. 8",отправитель
респ. Кабардино-Балкария,г. Бийск,"ул. Маркса, д. 7/9 к. 3",отправитель
Чукотский АО,с. Избербаш,"наб. Транспортная, д. 691 стр. 485",отправитель
респ. Кабардино-Балкария,ст. Петушки,"ул. Окружная, д. 176 стр. 447",отправитель
Ханты-Мансийский АО,п. Хабаровск,"ул. Социалистическая, д. 438",отправитель
респ. Хакасия,клх Енисейск,"пер. Садовый, д. 492",получатель
Брянская обл.,с. Тулун,"бул. Радужный, д. 4 стр. 7/3",отправитель
Приморский край,к. Мирный,"наб. Баумана, д. 160",получатель
Ненецкий АО,с. Октябрьское (Хант.),"ш. Пожарского, д. 17",получатель
Еврейская АО,с. Кудымкар,"пр. Прудный, д. 11 стр. 1/7",отправитель
Еврейская АО,г. Тында,"пр. Вахитова, д. 121 к. 769",получатель
Забайкальский край,д. Листвянка (Иркут.),"бул. Ульянова, д. 96 стр. 1",получатель
Ханты-Мансийский АО,с. Казань,"ш. Димитрова, д. 6",получатель
Еврейская АО,ст. Приморско-Ахтарск,"ш. Шмидта, д. 22 стр. 324",получатель
Ставропольский край,д. Кырен,"наб. Культуры, д. 7/3 к. 3/5",получатель
Еврейская АО,д. Махачкала,"ул. Ленинградская, д. 3/9",отправитель
Астраханская обл.,к. Дно,"ул. Ленская, д. 74 к. 906",отправитель
Новгородская обл.,с. Каргополь,"пер. Запорожский, д. 9 к. 408",получатель
Ханты-Мансийский АО,г. Амурск,"пер. Безымянный, д. 75 стр. 527",отправитель
респ. Ингушетия,п. Кулунда,"бул. Щетинкина, д. 37 к. 684",отправитель
Приморский край,с. Южно-Курильск,"бул. Волжский, д. 9 к. 667",получатель
Ямало-Ненецкий АО,п. Тихвин,"ш. Лесное, д. 54 стр. 27",отправитель
респ. Мордовия,ст. Борзя,"наб. Пушкинская, д. 3/2",получатель
Чукотский АО,г. Нефтекамск,"ул. Морозова, д. 29",получатель
респ. Карелия,г. Кош-Агач,"алл. Иркутская, д. 962",отправитель
респ. Адыгея,ст. Камышлов,"бул. Мира, д. 186 стр. 6/9",отправитель
Ненецкий АО,г. Новороссийка,"наб. Механизаторов, д. 93 к. 875",отправитель
Еврейская АО,д. Енисейск,"алл. Родниковая, д. 347 к. 35",отправитель
Красноярский край,д. Сосногорск,"ул. Матросова, д. 54",получатель
Алтайский край,клх Чита,"ш. Восьмого Марта, д. 4",получатель
Алтайский край,к. Алексин,"пр. 9 Января, д. 41 стр. 984",получатель
респ. Мордовия,клх Катайск,"пер. Братский, д. 93 к. 6/6",получатель
Калужская обл.,п. Дивногорск,"пр. Подстанция, д. 4",отправитель
Ивановская обл.,клх Улан-Удэ,"наб. Химиков, д. 68",получатель
респ. Алтай,п. Касимов,"пр. Рябиновый, д. 2/7 стр. 1",отправитель
Томская обл.,г. Чебаркуль,"ул. Докучаева, д. 1",отправитель
респ. Ингушетия,г. Вилюйск,"пер. Спартака, д. 261 к. 4",получатель
респ. Карелия,г. Джейрах,"ш. Заводское, д. 61",отправитель
респ. Коми,к. Саратов,"пер. Республиканский, д. 544 к. 90",отправитель
Приморский край,г. Макаров,"ш. Виноградное, д. 73 стр. 290",получатель
респ. Коми,п. Чермоз,"ул. Павлика Морозова, д. 6",отправитель
Чукотский АО,д. Шатой,"ул. Папанина, д. 530 к. 5",получатель
респ. Коми,с. Балашов,"пер. Кошевого, д. 53 к. 193",получатель
Ставропольский край,д. Апшеронск,"ш. Белорусское, д. 6/6 стр. 402",получатель
респ. Крым,с. Туапсе,"ул. Труда, д. 58",получатель
Чукотский АО,д. Данков,"ул. Тепличная, д. 202 стр. 8",получатель
респ. Тыва,г. Верхоянск,"бул. Горького, д. 124 стр. 3",получатель
респ. Кабардино-Балкария,ст. Малоярославец,"ш. Кузнецова, д. 3/2 стр. 58",отправитель
респ. Бурятия,г. Анапа,"ул. Серова, д. 2/8 стр. 359",получатель
Пермский край,с. Онега,"пр. Октябрьский, д. 4/9 к. 581",отправитель
Костромская обл.,ст. Оха,"ш. Уральское, д. 78 к. 23",получатель
респ. Удмуртия,с. Бугульма,"бул. Брянский, д. 657 к. 6",получатель
Мурманская обл.,г. Братск,"бул. Короткий, д. 3/7",получатель
респ. Ингушетия,ст. Братск,"ул. Смоленская, д. 1/2 стр. 684",получатель
Московская обл.,ст. Уренгой,"бул. Кубанский, д. 34",отправитель
респ. Карачаево-Черкесия,к. Сусуман,"ш. 9 Января, д. 1/5 стр. 9",получатель
Чукотский АО,ст. Москва,"ш. Воронежское, д. 774 стр. 3/3",получатель
Ненецкий АО,ст. Шелагонцы,"пер. Запрудный, д. 701 стр. 1/1",отправитель
респ. Крым,клх Шенкурск,"ул. Казанская, д. 72 к. 12",получатель
Хабаровский край,г. Чебоксары,"наб. Орджоникидзе, д. 79",получатель
Ямало-Ненецкий АО,д. Гремячинск (Бурят.),"наб. Сплавная, д. 831",получатель
Ненецкий АО,клх Тайшет,"пер. Тенистый, д. 75",получатель
Мурманская обл.,клх Нурлат,"ул. Свободы, д. 932",отправитель
Ненецкий АО,с. Вязьма,"алл. Пожарского, д. 329 к. 7",получатель
Хабаровский край,г. Катайск,"алл. Крылова, д. 5 стр. 2/4",получатель
респ. Алтай,д. Тула,"алл. Попова, д. 884",отправитель
Алтайский край,г. Джейрах,"алл. Сосновая, д. 401 к. 6/6",получатель
Камчатский край,г. Архыз,"ул. Тимирязева, д. 9/5",получатель
респ. Крым,ст. Щельяюр,"ул. 50 лет Октября, д. 29 стр. 730",отправитель
респ. Карелия,г. Нижний Тагил,"пер. Короткий, д. 7/9 к. 3",отправитель
Тамбовская обл.,клх Кулу,"алл. Плеханова, д. 72 к. 6/2",отправитель
Волгоградская обл.,с. Гремячинск (Бурят.),"пер. Светлый, д. 8/2",получатель
респ. Карелия,г. Волоколамск,"бул. Спортивный, д. 4 к. 2/1",получатель
Краснодарский край,д. Кырен,"алл. Средняя, д. 1/7",получатель
Мурманская обл.,д. Эльтон,"наб. Полярная, д. 2 стр. 37",отправитель
Ямало-Ненецкий АО,к. Волгодонск,"бул. Трудовой, д. 1 стр. 992",отправитель
Свердловская обл.,с. Домбай,"пр. Кочубея, д. 144 стр. 499",получатель
Алтайский край,с. Качканар,"ш. Алтайское, д. 1/6 к. 42",получатель
респ. Кабардино-Балкария,д. Тамбов,"бул. Крупской, д. 992 к. 31",получатель
Красноярский край,ст. Горячий Ключ,"бул. Чкалова, д. 4 стр. 2",отправитель
Приморский край,г. Радужный,"ул. Черноморская, д. 107",получатель
Курганская обл.,п. Сковородино,"алл. 8 Марта, д. 4 стр. 9",отправитель
Чукотский АО,ст. Гаврилов-Ям,"ул. Полтавская, д. 7",отправитель
Еврейская АО,п. Джубга,"пер. Прудный, д. 5/5 стр. 3/1",получатель
Алтайский край,с. Дно,"ул. Безымянная, д. 362 к. 7",отправитель
Томская обл.,д. Ачинск,"наб. Троицкая, д. 1",отправитель
респ. Саха (Якутия),с. Ноглики,"ул. Новгородская, д. 236 к. 138",отправитель
Пермский край,ст. Ульяновск,"ул. Озерная, д. 6 стр. 53",получатель
Псковская обл.,с. Кош-Агач,"пер. Водников, д. 609",получатель
Московская обл.,ст. Кабанск,"алл. Прохладная, д. 32",отправитель
Ставропольский край,к. Черский,"ш. Пушкина, д. 7 к. 79",получатель
респ. Чечня,д. Агата,"бул. Азовский, д. 24 к. 4/2",отправитель
Ямало-Ненецкий АО,к. Крымск,"пр. Приморский, д. 3/4 стр. 9",отправитель
Кемеровская обл.,п. Яшкуль,"алл. Высоковольтная, д. 45 стр. 80",отправитель
Ивановская обл.,п. Железногорск(Курск.),"ул. Октябрьская, д. 785 стр. 74",получатель
Камчатский край,клх Партизанск,"алл. Коммунистическая, д. 1 стр. 1",получатель
респ. Чувашия,г. Качканар,"ул. Верхняя, д. 3/6",отправитель
Ставропольский край,с. Кижи,"ш. Саратовское, д. 898",получатель
респ. Саха (Якутия),с. Дзержинск,"ш. Кольцевое, д. 91 стр. 5",получатель
респ. Хакасия,д. Верхоянск,"ш. Красногвардейское, д. 11 стр. 2/2",отправитель
Курская обл.,ст. Канск,"наб. Томская, д. 3/8 стр. 884",отправитель
Свердловская обл.,г. Бавлы,"пер. Белорусский, д. 63 стр. 83",получатель
респ. Северная Осетия - Алания,к. Иркутск,"бул. Новоселов, д. 43",отправитель
респ. Мордовия,ст. Елец,"пр. Горный, д. 693",отправитель
Архангельская обл.,д. Костомукша,"ул. Профсоюзная, д. 4/7",получатель
Смоленская обл.,клх Торжок,"пер. Николаева, д. 8/3",отправитель
Чукотский АО,п. Рубцовск,"наб. Тукая, д. 2/1 к. 923",отправитель
респ. Бурятия,клх Ардон,"бул. Менделеева, д. 4",отправитель
респ. Калмыкия,г. Истра,"пер. Красногвардейский, д. 1",отправитель
Ненецкий АО,ст. Калязин,"алл. Бабушкина, д. 1 к. 6",отправитель
респ. Мордовия,к. Соловки,"алл. Котовского, д. 16",получатель
респ. Карачаево-Черкесия,ст. Кизляр,"ул. Заводская, д. 7 стр. 3/6",отправитель
Чукотский АО,г. Нижнекамск,"бул. Тульский, д. 9 к. 980",получатель
респ. Адыгея,с. Кажим,"бул. Угловой, д. 8/4",получатель
Ульяновская обл.,г. Оленегорск (Якут.),"пер. Осипенко, д. 32 стр. 1",получатель
Ненецкий АО,г. Междуреченский,"ул. 60 лет Октября, д. 67 стр. 5/5",отправитель
респ. Удмуртия,г. Новый Уренгой,"пр. Макарова, д. 703",отправитель
Алтайский край,к. Костомукша,"пр. Курортный, д. 7/1 стр. 67",отправитель
Приморский край,клх Мостовской,"наб. Ворошилова, д. 78 к. 7/7",получатель
Ивановская обл.,ст. Краснодар,"ул. Прохладная, д. 5 стр. 9",получатель
респ. Татарстан,с. Владивосток,"алл. Февральская, д. 49",получатель
Белгородская обл.,к. Обоянь,"бул. Фадеева, д. 7/4 стр. 9/4",получатель
Еврейская АО,клх Сортавала,"пер. Березовый, д. 85",получатель
Алтайский край,к. Соболево,"пр. М.Горького, д. 9/7 к. 5/9",отправитель
Пермский край,п. Абакан,"пер. Высоцкого, д. 7 стр. 3/2",получатель
Ямало-Ненецкий АО,д. Кызыл,"ш. Стадионное, д. 6/9 стр. 1",отправитель
Еврейская АО,п. Красноярск,"наб. Р.Люксембург, д. 3/7 к. 9",получатель
Хабаровский край,клх Чита,"наб. Набережная, д. 91 к. 9/4",получатель
Пермский край,ст. Тихвин,"пр. Мичурина, д. 8 к. 5",получатель
респ. Коми,к. Кырен,"наб. Хуторская, д. 23 к. 60",отправитель
Курская обл.,ст. Каменномостский,"ул. Путевая, д. 658 стр. 235",отправитель
Пермский край,г. Псков,"ш. 8-е Марта, д. 6/1",отправитель
Еврейская АО,п. Гремячинск (Перм.),"ш. Крестьянское, д. 5/7 стр. 67",отправитель
респ. Крым,клх Орехово-Зуево,"алл. Докучаева, д. 763",получатель
Ненецкий АО,д. Тверь,"наб. Громова, д. 2 стр. 620",получатель
Хабаровский край,г. Эльтон,"ул. Жуковского, д. 989 стр. 96",отправитель
Алтайский край,с. Нягань,"пер. Тенистый, д. 3/9 к. 1/8",получатель
Хабаровский край,клх Киржач,"пр. Урицкого, д. 584 стр. 28",получатель
Еврейская АО,г. Тура,"ул. Центральная, д. 4 стр. 3/4",получатель
Чукотский АО,ст. Саранск,"наб. Северная, д. 3/1 к. 8",получатель
респ. Ингушетия,д. Усть-Баргузин,"пр. Механизаторов, д. 939 к. 328",получатель
Ханты-Мансийский АО,д. Нефтеюганск,"пер. Ульяновский, д. 29 к. 7/6",получатель
Вологодская обл.,с. Невинномысск,"пр. Сенной, д. 39",отправитель
Чукотский АО,к. Ставрополь,"ул. Волочаевская, д. 7/2",отправитель
Красноярский край,ст. Партизанск,"наб. Степана Разина, д. 1 к. 5",получатель
Ханты-Мансийский АО,ст. Нижний Новгород,"ул. Логовая, д. 3/6 стр. 6/9",отправитель
респ. Хакасия,г. Вологда,"пр. Орловский, д. 9/1 стр. 6",отправитель
Рязанская обл.,ст. Вуктыл,"пер. Тукая, д. 2/8",отправитель
респ. Адыгея,ст. Мытищи,"бул. Кузнечный, д. 25 стр. 7/5",отправитель
Ханты-Мансийский АО,ст. Губкинский,"наб. Челюскинцев, д. 56 стр. 4",получатель
Еврейская АО,д. Борзя,"бул. Р.Люксембург, д. 4 к. 751",получатель
Хабаровский край,с. Сладково,"наб. Авиационная, д. 3/6 стр. 220",получатель
Калужская обл.,д. Зеленоград,"ул. Киевская, д. 56",получатель
Ненецкий АО,г. Октябрьское (Хант.),"бул. Речной, д. 21",отправитель
Краснодарский край,к. Юровск,"алл. Докучаева, д. 63 к. 3/8",получатель
Алтайский край,к. Хоста,"пр. Восьмого Марта, д. 383 стр. 5",отправитель
респ. Чечня,п. Урюпинск,"ул. Павлова, д. 5/7 к. 248",отправитель
Ханты-Мансийский АО,ст. Славгород,"пр. Калужский, д. 9 к. 466",получатель
Тверская обл.,к. Санкт-Петербург,"пр. Солнечный, д. 653 к. 18",получатель
Краснодарский край,с. Игарка,"алл. Володарского, д. 42 стр. 958",отправитель
Чукотский АО,ст. Чермоз,"пр. Попова, д. 553 к. 6/4",отправитель
респ. Калмыкия,с. Суздаль,"пр. Путейский, д. 834 стр. 6",получатель
Хабаровский край,ст. Томари,"ш. Чапаева, д. 511 стр. 13",получатель
респ. Тыва,клх Плесецк,"наб. Огородная, д. 143 к. 28",отправитель
Ставропольский край,клх Выборг,"пр. Коллективный, д. 7",получатель
Ненецкий АО,д. Каменск-Шахтинский,"ул. Нахимова, д. 2/7",отправитель
Ханты-Мансийский АО,клх Красногорск (Моск.),"наб. Геологическая, д. 318 стр. 43",получатель
Ямало-Ненецкий АО,ст. Псебай,"пр. Металлистов, д. 1/7 стр. 358",отправитель
Томская обл.,к. Мураши,"алл. Прибрежная, д. 60 стр. 69",получатель
респ. Кабардино-Балкария,г. Сковородино,"пр. Крестьянский, д. 16 стр. 1",получатель
Ханты-Мансийский АО,с. Братск,"ул. Л.Толстого, д. 250 к. 100",получатель
респ. Крым,д. Оха,"алл. Лесная, д. 5/6",отправитель
Смоленская обл.,к. Лазаревское,"ул. Олимпийская, д. 261 стр. 1/2",отправитель
респ. Чечня,клх Салават,"наб. Революционная, д. 9",получатель
Ямало-Ненецкий АО,д. Гусь-Хрустальный,"ш. Шолохова, д. 4",получатель
респ. Марий-Эл,ст. Охотск,"пр. Таманский, д. 42",получатель
респ. Дагестан,п. Верхний Уфалей,"алл. Магистральная, д. 4",отправитель
Алтайский край,д. Кизляр,"пер. Малый, д. 5/3",получатель
Ямало-Ненецкий АО,г. Балашиха,"ул. Южная, д. 7/3",получатель
Камчатский край,к. Колпашево,"пер. Индустриальный, д. 3 к. 9",отправитель
Красноярский край,ст. Ахтубинск,"пр. ДОС, д. 5 к. 9/9",отправитель
Краснодарский край,д. Саянск,"пер. Кленовый, д. 115 стр. 2/6",отправитель
Ненецкий АО,д. Якутск,"бул. Островского, д. 4 к. 3/6",отправитель
Ханты-Мансийский АО,п. Сургут (Хант.),"ш. Маяковского, д. 9 стр. 3",получатель
Новгородская обл.,клх Домодедово,"ш. Малиновое, д. 16 стр. 16",получатель
Красноярский край,п. Медногорск,"алл. Заовражная, д. 1 стр. 54",отправитель
Еврейская АО,клх Междуреченский,"пр. Трактовый, д. 5 к. 48",отправитель
Еврейская АО,п. Курчатов,"наб. Мостовая, д. 6/9",получатель
Приморский край,п. Тырныауз,"ул. Кооперативная, д. 62 к. 483",отправитель
Томская обл.,п. Канск,"пр. Нижний, д. 7/6 стр. 72",отправитель
Красноярский край,д. Лазаревское,"наб. Отрадная, д. 5 к. 9/8",получатель
Краснодарский край,ст. Великие Луки,"наб. Свободы, д. 517",отправитель
респ. Марий-Эл,клх Мценск,"бул. Республиканский, д. 507 стр. 2",получатель
респ. Коми,п. Сочи,"алл. Инженерная, д. 95",получатель
респ. Татарстан,д. Брянск,"пер. Правды, д. 298 к. 3",отправитель
Еврейская АО,с. Калач,"пер. Просторный, д. 169 к. 3/1",получатель
Забайкальский край,д. Андреаполь,"пер. Волжский, д. 9/6",получатель
Красноярский край,г. Юрьевец (Иван.),"наб. Одесская, д. 61",получатель
респ. Тыва,д. Каргасок,"ш. Абрикосовое, д. 5 стр. 248",получатель
Свердловская обл.,к. Брянск,"пр. Запрудный, д. 9/8",отправитель
Ненецкий АО,д. Домодедово,"ш. Л.Толстого, д. 5/3 к. 92",отправитель
Оренбургская обл.,д. Партизанск,"алл. Сельская, д. 45 стр. 2",отправитель
Ханты-Мансийский АО,г. Верхний Баскунчак,"наб. Азовская, д. 7 к. 91",отправитель
Ненецкий АО,ст. Тамбей,"пр. Курчатова, д. 3 к. 9",отправитель
респ. Чечня,клх Горячий Ключ,"алл. Энергетиков, д. 3/2",отправитель
респ. Тыва,с. Иркутск,"ш. Енисейское, д. 3/6 к. 272",получатель
Челябинская обл.,д. Ряжск,"пр. Калинина, д. 890 к. 88",отправитель
Ставропольский край,ст. Кырен,"ш. 40 лет Победы, д. 65",получатель
Красноярский край,д. Арзамас,"пр. Парижской Коммуны, д. 7/1",получатель
Мурманская обл.,п. Усолье Сибирское,"ул. Кольцова, д. 8/8 стр. 5",получатель
Ханты-Мансийский АО,клх Соловки,"пр. Малиновый, д. 25",отправитель
Мурманская обл.,к. Нижний Тагил,"ш. Демьяна Бедного, д. 1 стр. 6",отправитель
Ненецкий АО,п. Невьянск,"алл. Специалистов, д. 7",отправитель
Приморский край,д. Кинешма,"бул. Водников, д. 4",отправитель
респ. Кабардино-Балкария,г. Бавлы,"алл. Грибоедова, д. 790 стр. 48",отправитель
респ. Дагестан,к. Верхний Тагил,"ш. Малое, д. 1/4",получатель
Приморский край,ст. Неплюевка,"ул. Тихая, д. 78",получатель
Пермский край,к. Тырныауз,"пер. Магистральный, д. 23",получатель
Еврейская АО,к. Шелехов,"алл. Поперечная, д. 43 стр. 726",получатель
Курская обл.,к. Тольятти,"наб. Песчаная, д. 234 к. 7/9",получатель
респ. Башкортостан,к. Чокурдах,"наб. Минина, д. 5/5",отправитель
Пермский край,д. Алапаевск,"алл. Рязанская, д. 20 стр. 12",отправитель
Хабаровский край,д. Хатанга,"пр. Колхозный, д. 29 к. 635",получатель
респ. Мордовия,к. Энгельс,"наб. Есенина, д. 44 стр. 5/6",получатель
